propert_title,propert_location,price,area,listing_type
65 m2 1 Bedroom Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",250 OMR,65,For Rent
20 m2 1 Bedroom Apartments for Rent in Muscat Al-Hail,"Muscat, Al-Hail",160 OMR,20,For Rent
90 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,90,For Rent
80 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,80,For Rent
3 Bedrooms Chalet for Rent in Dhofar Salala,"Dhofar, Salala",150 OMR,1,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",40 OMR,,For Rent
Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",6 OMR,,For Rent
400 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",350 OMR,400,For Rent
80 m2 2 Bedrooms Apartments for Rent in Muscat Sidab,"Muscat, Sidab",140 OMR,80,For Rent
130 m2 3 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",220 OMR,130,For Rent
135 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",80 OMR,135,For Rent
2 Bedrooms Chalet for Rent in Dhofar Salala,"Dhofar, Salala",150 OMR,1,For Rent
More than 6 bedrooms Chalet for Rent in Dhofar Salala,"Dhofar, Salala",140 OMR,600,For Rent
محلات للإيجار في السيح الأحمر,"Al Dakhiliya, Bidbid",80 OMR,360,For Rent
89 m2 1 Bedroom Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",300 OMR,89,For Rent
80 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,80,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",20 OMR,,For Rent
From Owner direct fully furnished flat for rent من المالك شقة مفروشة بالكامل للإيجار مسقط هيلز,"Muscat, Muscat Hills",550 OMR,118,For Rent
3 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",55 OMR,800,For Rent
Furnished Daily in Muscat Ansab,"Muscat, Ansab",10 OMR,,For Rent
70 m2 1 Bedroom Apartments for Rent in Muscat Amerat,"Muscat, Amerat",9 OMR,70,For Rent
5 Bedrooms Chalet for Rent in Dhofar Mirbat,"Dhofar, Mirbat",85 OMR,607,For Rent
145 m2 2 Bedrooms Apartments for Rent in Muscat Ghubrah,"Muscat, Ghubrah",410 OMR,145,For Rent
Office for Rent in Avenues Mall Ghoubra مكتب للإيجار في أفنيوز مول الغبرة,"Muscat, Ghubrah",150 OMR,100,For Rent
300 m2 2 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",90 OMR,300,For Rent
مكتب  للايجار في موقع مميز العاصمه مسقط خط الشارع السلطان قابوس مقابل ايكيا,"Muscat, Ghubrah",675 OMR,157,For Rent
Furnished Daily in Muscat Al Maabilah,"Muscat, Al Maabilah",20 OMR,,For Rent
200 m2 3 Bedrooms Townhouse for Rent in Al Sharqiya Other,"Al Sharqiya, Other",20 OMR,200,For Rent
FLAT FOR RENT,"Muscat, Al Khuwair",230 OMR,,For Rent
300 m2 4 Bedrooms Townhouse for Rent in Dhofar Taqah,"Dhofar, Taqah",50 OMR,300,For Rent
Flat for rent (inclusive of bills),"Muscat, Al Maabilah",175 OMR,90,For Rent
Townhouse for rent in Shatti al Qurm.,"Muscat, Qurm",750 OMR,285,For Rent
120 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,120,For Rent
12 m2 1 Bedroom Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",7 OMR,12,For Rent
Furnished Daily in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",7 OMR,,For Rent
90 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,90,For Rent
Unfurnished Monthly in Muscat Bosher,"Muscat, Bosher",100 OMR,,For Rent
محل للايجار الحيل/shop for rent Al-Hil,"Muscat, Al-Hail",600 OMR,50,For Rent
100 m2 3 Bedrooms Apartments for Rent in Dhofar Other,"Dhofar, Other",48 OMR,100,For Rent
4 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",80 OMR,300,For Rent
624 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala","180,000 OMR",624,For Rent
2 Bedrooms Chalet for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",40 OMR,125,For Rent
36 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",28 OMR,36,For Rent
300 m2 2 Bedrooms Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",17 OMR,300,For Rent
170 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",60 OMR,170,For Rent
"Flexible office memberships in Muscat, Pearl Square","Muscat, Muscat Hills",89 OMR,8,For Rent
"Private office space for 3 persons in Muscat, Al Fardan Heights","Muscat, Ghala",234 OMR,15,For Rent
"Book a reserved coworking spot or hot desk in MUSCAT, Beach One","Muscat, Muttrah",109 OMR,10,For Rent
"Private office space for 5 persons in DUQM, Squadra","Al Wustaa, Al Duqum",199 OMR,30,For Rent
100 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,100,For Rent
80 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,80,For Rent
Furnished Daily in Muscat Al Maabilah,"Muscat, Al Maabilah",7 OMR,,For Rent
محلات جديده في المعبيلة سيد فياض بلازا Shop Spaces for Rent in Syed Fayyaz Plaza Mabella,"Muscat, Al Maabilah",250 OMR,28,For Rent
100 m2 3 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",100 OMR,100,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",18 OMR,,For Rent
70 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,70,For Rent
119 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,119,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",1 OMR,,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",45 OMR,,For Rent
60 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",65 OMR,60,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",45 OMR,,For Rent
95 m2 1 Bedroom Apartments for Rent in Muscat Al-Hail,"Muscat, Al-Hail",290 OMR,95,For Rent
Furnished Daily in Muscat Ansab,"Muscat, Ansab",7 OMR,,For Rent
300 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,300,For Rent
Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",110 OMR,,For Rent
Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",100 OMR,,For Rent
Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",100 OMR,,For Rent
350 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",140 OMR,350,For Rent
Furnished Monthly in Muscat Ghubrah,"Muscat, Ghubrah",165 OMR,,For Rent
130 m2 3 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",220 OMR,130,For Rent
Unfurnished Yearly in Muscat Al Khoud,"Muscat, Al Khoud",100 OMR,,For Rent
80 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,80,For Rent
Modern 4-Bedroom+Maidroom Villa opposite almouj,"Muscat, Al Mawaleh",590 OMR,420,For Rent
فرصة للبيع أو الاستثمار: صالون نسائي في الحيل الجنوبية,"Muscat, Al-Hail",900 OMR,40,For Rent
200 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",55 OMR,200,For Rent
Fully Furnished One Bedroom Apartment  Gala Heights,"Muscat, Ghala",390 OMR,65,For Rent
250 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",110 OMR,250,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",55 OMR,,For Rent
3 Bedrooms Chalet for Rent in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",55 OMR,250,For Rent
Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",140 OMR,,For Rent
60 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,60,For Rent
55555 ft² Studio Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",15 OMR,,For Rent
Room for rent عرفة للإيجار,"Muscat, Al Maabilah",100 OMR,,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",30 OMR,,For Rent
30 m2 Studio Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",15 OMR,30,For Rent
100 m2 1 Bedroom Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",17 OMR,100,For Rent
للإيجار – مساحة تخزين 400 م2 في المعبيلة السابعة,"Muscat, Al Maabilah","1,000 OMR",400,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",1 OMR,,For Rent
3BR Penthouse Finaa Alfardan in Prime Location price is negotiable - 1 Month Free,"Muscat, Azaiba","1,050 OMR",220,For Rent
Unfurnished Yearly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",110 OMR,,For Rent
Unfurnished Monthly in Muscat Al-Hail,"Muscat, Al-Hail",115 OMR,,For Rent
10 m2 1 Bedroom Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",12 OMR,10,For Rent
280 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",150 OMR,280,For Rent
Furnished Daily in Muscat Al Mouj,"Muscat, Al Mouj",50 OMR,,For Rent
50 m2 Studio Apartments for Rent in Muscat Bosher,"Muscat, Bosher",220 OMR,50,For Rent
550 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",,550,For Rent
furnished offices in Bousher مكتب مؤثث في بوشر,"Muscat, Bosher",350 OMR,70,For Rent
محل للإيجار بمساحة  96 متر مربع في الخوير 33 - على شارع المها بموقع حيوي وسهل الوصول,"Muscat, Al Khuwair","1,100 OMR",95,For Rent
محل كورنر للايجار في الخوض 7  منطقة حيويةخلف مركز العامري، قريبة من مركز السيب التخصصي ومن البيوت,"Muscat, Al Khoud",300 OMR,35,For Rent
420 m2 5 Bedrooms Villa for Rent in Muscat Azaiba,"Muscat, Azaiba",350 OMR,420,For Rent
Furnished Yearly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",70 OMR,,For Rent
98 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,98,For Rent
Furnished Daily in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",12 OMR,,For Rent
15 m2 1 Bedroom Apartments for Rent in Muscat Bosher,"Muscat, Bosher",10 OMR,15,For Rent
65 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",250 OMR,65,For Rent
2 Bedrooms Chalet for Rent in Dhofar Salala,"Dhofar, Salala",100 OMR,400,For Rent
80 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",250 OMR,80,For Rent
مركز الأعمال,"Muscat, Al Khuwair",200 OMR,200,For Rent
300 m2 5 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",75 OMR,300,For Rent
3 Bedrooms Chalet for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",45 OMR,130,For Rent
Studio Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",55 OMR,150,For Rent
للايجار مكتب في غلا المرحله الاولى 250 متر جنب فندق سنتارا,"Muscat, Ghala",900 OMR,250,For Rent
Unfurnished Yearly in Muscat Al Khoud,"Muscat, Al Khoud",90 OMR,,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",50 OMR,280,For Rent
مكاتب للإيجار بالحوض السابعة قريب المحكمة,"Muscat, Al Khoud",230 OMR,100,For Rent
للإيجار – مكاتب ذكية في موقع استراتيجي بمسقط قريب مبنى وزارة الاقتصاد (مساحات تصل الى 850 متر ),"Muscat, Ghala",420 OMR,74,For Rent
"Townhouse  in Hawana, Salalah دوبلكس تاونهاوس غرفة نوم وصالة وغرفة زجاجية في هوانا ، صلالة","Dhofar, Salala",79 OMR,90,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,100,For Rent
ورشة في صناعية الوادي الكبير workshop in wadi kabir,"Muscat, Wadi Al Kabir",280 OMR,200,For Rent
Industrial Land for Rent in Muscat Misfah,"Muscat, Misfah",800 OMR,,For Rent
Unfurnished Yearly in Muscat Al Khoud,"Muscat, Al Khoud",80 OMR,,For Rent
250 m2 2 Bedrooms Apartments for Rent in Dhofar Taqah,"Dhofar, Taqah",30 OMR,250,For Rent
200 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",15 OMR,200,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,100,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",40 OMR,1000,For Rent
Furnished Monthly in Muscat Al Khuwair,"Muscat, Al Khuwair",45 OMR,,For Rent
محلات جديدة للإيجار في روي شارع هوندا ولجه بجانب الإشارات,"Muscat, Ruwi",200 OMR,60,For Rent
Unfurnished Yearly in Muscat Al Khuwair,"Muscat, Al Khuwair",100 OMR,,For Rent
مكتب للإيجار في شارع 18 نوفمبر,"Muscat, Azaiba",550 OMR,86,For Rent
للايجار مكتب بزنس سنتر Business center,"Muscat, Ghala",170 OMR,15,For Rent
160 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,160,For Rent
Unfurnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",100 OMR,,For Rent
غرف مفروشہ لاجار ال,"Muscat, Al Maabilah",7 OMR,7,For Rent
Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",100 OMR,,For Rent
2 Bedrooms Chalet for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",60 OMR,185,For Rent
1 Bedroom Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",160 OMR,500,For Rent
للايجار مكتب مؤثث في غلا ل 12 موظف مبنى جديد بمواصفات مميزه مع موقف سياره خاص,"Muscat, Ghala",400 OMR,80,For Rent
Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",100 OMR,,For Rent
50 m2 Studio Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",120 OMR,50,For Rent
Special offer for the fully furnished office space,"Muscat, Al Khuwair",170 OMR,8,For Rent
175 m2 3 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",18 OMR,175,For Rent
70 m2 1 Bedroom Apartments for Rent in Muscat Bosher,"Muscat, Bosher",250 OMR,70,For Rent
50 m2 Studio Apartments for Rent in Muscat Ruwi,"Muscat, Ruwi",100 OMR,50,For Rent
More than 6 bedrooms Chalet for Rent in Al Batinah Suwaiq,"Al Batinah, Suwaiq",70 OMR,5000,For Rent
Furnished Weekly in Muscat Azaiba,"Muscat, Azaiba",210 OMR,,For Rent
100 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",100 OMR,100,For Rent
4 Bedrooms Chalet for Rent in Muscat Seeb,"Muscat, Seeb",70 OMR,300,For Rent
9 m2 1 Bedroom Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",10 OMR,9,For Rent
3 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",110 OMR,496,For Rent
مكاتب / محلات / معارض للإيجار في صلاله الوسطى - (تم تخفيض السعر),"Dhofar, Salala",100 OMR,30,For Rent
مكتبي الوطيه,"Muscat, Al-Wuttayah",180 OMR,8,For Rent
2 Bedrooms Chalet for Rent in Dhofar Salala,"Dhofar, Salala",60 OMR,600,For Rent
300 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala","2,500 OMR",300,For Rent
Luxury Commercial Shop for rent Al Hail on Main Highway. محل للايجار على الشارع سلطان قابوس,"Muscat, Al-Hail","1,000 OMR",101,For Rent
عقد ايجار مكاتب ومحلات مؤقته لجميع الانشطه التجاريه والصناعيه,"Muscat, Amerat",50 OMR,50,For Rent
Large Commercial shop for rent Mawaleh near Muzn Mall.,"Muscat, Al Mawaleh","1,000 OMR",170,For Rent
113 m2 3 Bedrooms Apartments for Rent in Muscat Amerat,"Muscat, Amerat",120 OMR,113,For Rent
"محلات + شقة  بروي خلف شارع هوندا  Shops + apartment for rent in Ruwi Al Walaja, behind Honda Stree","Muscat, Ruwi",120 OMR,9,For Rent
2000 m2 More than 6 bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",70 OMR,2000,For Rent
Furnished Daily in Muscat Al Maabilah,"Muscat, Al Maabilah",10 OMR,,For Rent
100 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,100,For Rent
Residential Land for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,,For Rent
عقود ايجار مكاتب مؤقتة وترخيص الانشطة Temporary office rental contracts an,"Muscat, Amerat",75 OMR,20,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,100,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",50 OMR,,For Rent
مخزن للايجار في منطقه الرسيل الصناعيه خلف مخازن الشرع. Warehouse for rent in Rusayl indu,"Muscat, Rusail",800 OMR,250,For Rent
1 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,1,For Rent
2 Bedrooms Chalet for Rent in Muscat Amerat,"Muscat, Amerat",45 OMR,300,For Rent
850 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,850,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,100,For Rent
3 Bedrooms Chalet for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",60 OMR,200,For Rent
70 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",45 OMR,70,For Rent
50 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,50,For Rent
محل للإيجار في الباطنة,"Al Batinah, Sohar",150 OMR,20,For Rent
Shop in Amerat free wifi (B7820),"Muscat, Amerat",85 OMR,25,For Rent
230sqm shop in mabila محل ارضي المعبيله,"Muscat, Al Maabilah","1,600 OMR",230,For Rent
400 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,400,For Rent
Furnished Daily in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",12 OMR,,For Rent
2bhk near Almouj free wifiشقة قريب الموج,"Muscat, Al Mouj",250 OMR,105,For Rent
90 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,90,For Rent
90 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,90,For Rent
Daily room rent. إيجار غرفة يومية في المعبيلة,"Muscat, Al Maabilah",6 OMR,,For Rent
3000 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,3000,For Rent
300 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,300,For Rent
ROOMS IN    SALAHANA OUR PRICES ARE SUITABLE AND AFFORDABLE TO EVERYONE غرف في صلاله باسعار مناسبه,"Dhofar, Salala",25 OMR,60,For Rent
80 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,80,For Rent
182 m2 2 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",130 OMR,182,For Rent
600 m2 More than 6 bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",10 OMR,600,For Rent
90 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",45 OMR,90,For Rent
88 m2 2 Bedrooms Apartments for Rent in Muscat Bosher,"Muscat, Bosher",24 OMR,88,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",30 OMR,200,For Rent
90 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",15 OMR,90,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",40 OMR,141,For Rent
550 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",160 OMR,550,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",15 OMR,,For Rent
Furnished Daily in Muscat Bosher,"Muscat, Bosher",23 OMR,,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",25 OMR,200,For Rent
200 m2 3 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",70 OMR,200,For Rent
500 m2 More than 6 bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",,500,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",45 OMR,,For Rent
130 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,130,For Rent
80 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,80,For Rent
120 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",45 OMR,120,For Rent
Shops for rent in in busy city Suhar near all attractions with biggest Brands,"Al Batinah, Sohar",150 OMR,20,For Rent
5000 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,5000,For Rent
More than 6 bedrooms Chalet for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",80 OMR,600,For Rent
Furnished Daily in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",7 OMR,,For Rent
130 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",45 OMR,130,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,100,For Rent
Furnished Daily in Muscat Al Mawaleh,"Muscat, Al Mawaleh",10 OMR,,For Rent
80 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,80,For Rent
140 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",43 OMR,140,For Rent
61 m2 Studio Apartments for Rent in Muscat Azaiba,"Muscat, Azaiba",450 OMR,61,For Rent
Furnished Daily in Muscat Al Mawaleh,"Muscat, Al Mawaleh",8 OMR,,For Rent
380 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",150 OMR,380,For Rent
300 m2 3 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",80 OMR,300,For Rent
600 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,600,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",10 OMR,,For Rent
150 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,150,For Rent
120 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,120,For Rent
مخزن للايجار قريب من مسقط خلف حديقه النسيم العامه,"Al Batinah, Al Rumais",400 OMR,200,For Rent
123 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",,123,For Rent
